srch_id,srch_destination_id,time_idx,srch_length_of_stay,srch_room_count,srch_saturday_night_bool,random_bool,prop_review_score,prop_location_score2,prop_location_score1,prop_log_historical_price,prop_starrating,comp_rate,comp_inv,total_gross_revenue,total_clicks,n_props,total_promotions,avg_price_per_night,std_price_usd,mean_hist_price,std_hist_price,corr_pos_price,corr_pos_review,gross_revenue_per_night,_split
143522,14,1,1,1,0,0,4.0,0.2253,1.79,4.97,3,1,1,0.0,0,9,0,94.77778,18.586135812600865,4.801111,0.23782572070828958,-0.04287805013324134,0.397778642087865,0.0,train
300980,14,2,1,1,0,0,4.0,0.2253,1.79,4.6,3,1,1,0.0,0,7,0,93.14286,16.876300655342796,4.7114286,0.24368203423116452,-0.18501696757171626,0.2855030228349679,0.0,train
520039,175,1,2,1,1,0,3.5,0.063,4.26,5.51,4,0,0,0.0,0,19,2,116.36842,36.47710168541931,5.281053,0.5168806688113561,0.0012123458494745112,0.0039534980374782164,0.0,train
42337,175,2,8,1,0,1,4.0,0.0476,3.33,5.65,4,0,0,0.0,0,18,1,129.58722,50.935530502534185,5.293333,0.48226192937166185,-0.3088033068201307,-0.07676721346895558,0.0,train
545842,175,3,3,1,1,1,5.0,0.1272,3.66,4.98,2,0,0,0.0,1,9,1,158.08444,11.758587831026022,5.27,0.18248293705435664,-0.3736562834559283,0.37259741702021926,0.0,train
247448,175,4,2,1,0,0,4.5,0.0239,3.3,5.58,4,0,0,0.0,0,19,0,151.58578,31.033158771492356,5.5747366,0.02294155150826687,0.24784454187654917,-0.14523647533105824,0.0,train
650687,175,5,2,1,1,0,3.5,0.063,4.26,5.23,4,0,0,0.0,0,13,3,147.44461,29.956351124754132,5.267692,0.1542807840734975,-0.06430093805183337,-0.3779440372169909,0.0,train
49082,175,6,3,1,1,1,4.0,0.1075,4.43,5.16,2,0,0,0.0,0,5,0,67.906,1.8919506212696628,5.098,0.40843605068101313,0.16532237211510084,0.521387245906701,0.0,train
652824,175,7,3,1,0,0,4.5,0.0838,4.26,5.53,4,0,0,0.0,0,24,4,130.70833,41.41463631917194,5.508333,0.2638455969264877,-0.23224357534642523,-0.17748455885593423,0.0,train
20355,175,8,3,2,1,1,4.0,0.0476,3.33,5.53,4,0,0,0.0,1,17,1,128.87587,39.967508710927106,5.441765,0.2383861610439155,-0.38145316862195516,-0.17374567033110544,0.0,train
413820,175,9,10,1,0,1,4.5,0.0526,4.43,5.1,3,0,0,0.0,0,11,2,129.66547,41.34967533345072,5.340909,0.2618187927524612,0.10220109656633658,0.50930266573365,0.0,train
151768,175,10,6,1,0,0,4.5,0.0239,3.3,5.66,4,0,0,0.0,0,14,5,143.14285,45.046740073048475,5.4592857,0.23443758788649963,-0.5902553863613915,0.06564351613434233,0.0,train
106536,175,11,5,1,0,0,5.0,0.1272,3.66,5.32,2,0,0,0.0,0,3,1,179.0,30.643106892089126,5.3133335,0.17009809169763454,0.9888824717267167,0.22501758018520474,0.0,train
41930,175,12,7,1,0,1,4.5,0.0526,4.43,4.85,3,0,0,0.0,1,8,3,130.79625,40.88793421112184,5.27375,0.38913593130219765,0.9764097200609452,0.47583095143088655,0.0,train
311793,175,13,4,1,1,0,4.5,0.0526,4.43,4.87,3,0,0,0.0,0,24,3,111.95292,17.94538369220921,5.237083,0.17344291640702417,-0.02453352260987501,-0.12832544525750503,0.0,train
362271,175,14,5,1,0,0,4.5,0.0675,2.2,6.14,5,0,0,0.0,0,6,2,158.93834,32.163704880511666,5.9666667,0.14375906653077464,-0.8043973871710115,0.0,0.0,train
431736,175,15,2,1,0,0,4.5,0.0526,4.43,4.89,3,0,1,261.2,1,23,3,152.39131,17.872627955606465,5.2621737,0.22350419082108575,-0.2806260195926669,-0.38595117689275077,130.60000610351562,train
471118,175,16,3,1,0,0,3.5,0.063,4.26,5.23,4,0,0,0.0,1,7,2,173.58286,20.951791363808844,5.2042856,0.15186138889716502,0.2626328312915681,-0.12483384214412277,0.0,train
514100,175,17,2,2,1,1,4.5,0.0838,4.26,5.47,4,0,0,0.0,1,20,4,122.25,44.39520481455532,5.4255,0.22816141040454138,0.14156253568868085,0.16816359480898344,0.0,train
583287,175,18,6,1,0,1,4.5,0.0675,2.2,6.11,5,0,0,0.0,1,9,2,164.18889,27.235278974448658,5.941111,0.07991318711105654,-0.343501067416432,0.33584976459375754,0.0,train
334528,175,19,2,1,1,0,4.5,0.0838,4.26,5.73,4,0,0,0.0,0,22,3,122.28864,43.83090783009189,5.5163636,0.3076879055720118,0.13384551313217136,-0.5795308015072331,0.0,train
357027,175,20,3,1,0,1,4.5,0.0825,3.66,5.56,4,0,0,0.0,0,4,0,166.92,25.053380282149956,5.185,0.3031501454414187,-0.9166428702117795,-0.39454562671085647,0.0,train
313463,175,21,1,1,0,0,4.5,0.0526,4.43,4.88,3,0,0,0.0,0,12,3,100.03083,37.213732141484435,5.334167,0.28984186103979215,-0.273120527979568,0.07903744453942509,0.0,train
104811,175,22,13,1,0,1,4.5,0.0526,4.43,5.13,3,0,0,0.0,1,9,0,89.022224,30.055647052422533,5.3388886,0.32312702305399993,-0.03853082042982193,0.7344894034083347,0.0,train
528911,175,23,8,1,0,0,5.0,0.1272,3.66,4.88,2,0,0,0.0,0,9,4,175.08444,37.992537330787414,5.0733333,0.25134634195212197,-0.738308199567666,-0.4769799933349287,0.0,train
642056,175,24,8,1,0,1,4.5,0.0675,2.2,5.9,5,0,0,0.0,0,6,2,157.97499,25.442289850045803,5.853333,0.08640998487358385,-0.45289264803081775,,0.0,train
82343,175,25,1,2,1,0,4.0,0.1014,4.42,5.2,2,0,0,0.0,0,21,1,125.61905,39.03777169675056,5.5995235,0.28180626833992023,0.22555915777611807,-0.13416910729388137,0.0,train
380955,175,26,2,1,1,0,4.5,0.0239,3.3,5.57,4,0,0,0.0,0,17,3,135.52942,46.48402635188085,5.400588,0.24429673014211442,-0.3757491889261915,-0.3536941094279993,0.0,train
56093,175,27,3,1,0,0,4.5,0.0838,4.26,5.47,4,0,0,0.0,0,22,6,122.05227,39.184166951968756,5.537273,0.2722600547756851,-0.07738321941513587,-0.32526599533713013,0.0,train
455618,175,28,3,1,1,0,4.5,0.0239,3.3,5.57,4,0,1,0.0,0,20,5,144.65,46.61180672657722,5.4205,0.26486295618697675,-0.360078385367982,-0.19058456170518426,0.0,train
632486,175,29,2,1,1,0,3.5,0.063,4.26,5.23,4,0,1,0.0,0,16,1,130.73999,36.64016324162119,5.365,0.1595409418413854,0.07446103615266861,-0.02287253937842348,0.0,train
500272,175,30,4,1,1,0,4.5,0.0239,3.3,5.55,4,0,0,0.0,0,11,3,151.96637,39.22749390506007,5.339091,0.18069058067059965,-0.040125456438309975,-0.06043727976167415,0.0,train
